Activo,Nombre,Clase,Pais Sede,Tipo de Activo,Activo /|Cancelado,Codigo,Bolsa / Fuente,Descripción del|tipo valor,Fecha del|Inicio de la Serie,Fecha de la|Ult Cotización,Moneda de las|Cotizaciones,Sector NAICS|ult disponib,Sector|Economatica
AEROMEX<XMEX>,Aeromex,*,MX,Accion,cancelado,AEROMEX,BMV,Acciones,18/03/2022,19/12/2022,Peso Mexico,Transporte aéreo regular,Transporte Servic
AEROMEXold<XMEX>,Aeromex,*-old,MX,Accion,cancelado,AEROMEXold,BMV,Acciones,13/04/2011,16/03/2022,Peso Mexico,Transporte aéreo regular,Transporte Servic
AHMSA<XMEX>,Altos Hornos de Mex,*,MX,Accion,cancelado,AHMSA,BMV,Acciones,16/08/1994,25/05/1999,Peso Mexico,Industria básica del hierro y del acero,Siderur & Metalur
ANB<XMEX>,Anheuser-Busch,*,MX,Accion,cancelado,ANB,BMV,Acciones,10/06/2020,28/04/2026,Peso Mexico,Industria de las bebidas,Alimentos y Beb
PAPPEL<XMEX>,Bio Pappel,*,MX,Accion,cancelado,PAPPEL,BMV,Acciones,04/04/2005,24/08/2021,Peso Mexico,"Fabricación de pulpa, papel y cartón",Papel y Celulosa
GFAMSAA<XMEX>,GFamsa,A,MX,Accion,cancelado,GFAMSAA,BMV,Acciones,19/05/2006,02/05/2023,Peso Mexico,Otros tipos de tienda,Comercio
GMXT<XMEX>,Gméxico Transportes,*,MX,Accion,cancelado,GMXT,BMV,Acciones,10/11/2017,16/01/2026,Peso Mexico,Fabricación de equipo ferroviario,Vehículos y Pieza
ICA<XMEX>,Ica Soc Controlad,*,MX,Accion,cancelado,ICA,BMV,Acciones,09/04/1992,25/08/2017,Peso Mexico,Otras construcciones y ingeniería civil,Construcción
IENOVA<XMEX>,Infraes Energetica,*,MX,Accion,cancelado,IENOVA,BMV,Acciones,22/03/2013,13/10/2021,Peso Mexico,"Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
QUMMAB<XMEX>,Qumma,B,MX,Accion,cancelado,QUMMAB,BMV,Acciones,30/06/1994,06/02/2003,Peso Mexico,Telecomunicaciones,Telecomunicación
