"Activo","Nombre","Clase","Pais Sede","Tipo de Activo","Activo /|Cancelado","Codigo","Bolsa / Fuente","Descripción del|tipo valor","Fecha del|Inicio de la Serie","Fecha de la|Ult Cotización","Moneda de las|Cotizaciones","Sector NAICS|ult disponib","Sector|Economatica"
"AEROMEX<XMEX>","Aeromex","*","MX","Accion","cancelado","AEROMEX","BMV","Acciones","2022-03-18","2022-12-19","Peso Mexico","Transporte aéreo regular","Transporte Servic"
"AEROMEXold<XMEX>","Aeromex","*-old","MX","Accion","cancelado","AEROMEXold","BMV","Acciones","2011-04-13","2022-03-16","Peso Mexico","Transporte aéreo regular","Transporte Servic"
"AHMSA<XMEX>","Altos Hornos de Mex","*","MX","Accion","cancelado","AHMSA","BMV","Acciones","1994-08-16","1999-05-25","Peso Mexico","Industria básica del hierro y del acero","Siderur & Metalur"
"ANB<XMEX>","Anheuser-Busch","*","MX","Accion","cancelado","ANB","BMV","Acciones","2020-06-10","2026-04-28","Peso Mexico","Industria de las bebidas","Alimentos y Beb"
"PAPPEL<XMEX>","Bio Pappel","*","MX","Accion","cancelado","PAPPEL","BMV","Acciones","2005-04-04","2021-08-24","Peso Mexico","Fabricación de pulpa, papel y cartón","Papel y Celulosa"
"GFAMSAA<XMEX>","GFamsa","A","MX","Accion","cancelado","GFAMSAA","BMV","Acciones","2006-05-19","2023-05-02","Peso Mexico","Otros tipos de tienda","Comercio"
"GMXT<XMEX>","Gméxico Transportes","*","MX","Accion","cancelado","GMXT","BMV","Acciones","2017-11-10","2026-01-16","Peso Mexico","Fabricación de equipo ferroviario","Vehículos y Pieza"
"ICA<XMEX>","Ica Soc Controlad","*","MX","Accion","cancelado","ICA","BMV","Acciones","1992-04-09","2017-08-25","Peso Mexico","Otras construcciones y ingeniería civil","Construcción"
"IENOVA<XMEX>","Infraes Energetica","*","MX","Accion","cancelado","IENOVA","BMV","Acciones","2013-03-22","2021-10-13","Peso Mexico","Generación, transmisión y suministro de energía eléctrica","Energía Eléctrica"
"QUMMAB<XMEX>","Qumma","B","MX","Accion","cancelado","QUMMAB","BMV","Acciones","1994-06-30","2003-02-06","Peso Mexico","Telecomunicaciones","Telecomunicación"
"RASSINIA<XMEX>","San Luis Corp","A","MX","Accion","cancelado","RASSINIA","BMV","Acciones","1991-12-02","2019-08-29","Peso Mexico","Fabricación de partes para vehículos automotores","Vehículos y Pieza"
"RASSINICPO<XMEX>","San Luis Corp","CPO","MX","Accion","cancelado","RASSINICPO","BMV","Acciones","1995-03-10","2019-09-02","Peso Mexico","Fabricación de partes para vehículos automotores","Vehículos y Pieza"
"SAREB<XMEX>","Sare","B","MX","Accion","cancelado","SAREB","BMV","Acciones","2003-10-24","2019-05-29","Peso Mexico","Edificación residencial","Construcción"
"SITESA<XMEX>","Telesites","A","MX","Accion","cancelado","SITESA","BMV","Acciones","2015-12-21","2016-07-12","Peso Mexico","Otros servicios de telecomunicaciones","Telecomunicación"
