Fecha,ALPEKA,ALSEA,AMXB,ARA,AC,ASURB,AUTLANB,AXTELCPO,BACHOCOB,BIMBOA,BOLSAA,CEMEXCPO,CHDRAUIB,ELEKTRA,FUNO11,FEMSAUBD,GCARSOA1,LABB,GENTERA,GFNORTEO,GFINBURO,GISSAA,GMEXICOB,GAPB,GRUMAB,HERDEZ,HOMEX,ICHB,KIMBERA,LIVEPOLC-1,MEGACPO,MFRISCOA-1,OMAB,ORBIA,PE&OLES,PINFRA,Q,RA,SIGMAFA,SIMECB,SORIANAB,SPORTS,TLEVISACPO,VESTA,WALMEX
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,,8.727597877,10.649955465,6.5834646004,20.500963686,42.587084598,21.452707803,12.61,19.559269523,18.483625604,7.8398673923,10.780312435,,598.61871987,,44.877899164,15.073504494,12.791278501,,27.869549305,15.8875723,,16.878833082,19.859212164,19.309592122,,68.972105313,44.425852687,9.1373407461,,15.680377809,,9.9362531908,16.315257027,210.80854733,22.312959139,,,4.650864011,34.636666048,29.707333722,,45.989794353,,19.474547348
2010-01-05,,8.7361543455,10.594916936,6.562043349,20.505677635,42.761105375,21.452707803,12.79,19.559269523,18.580575066,8.0373834312,10.807415672,,591.3512158,,43.518807638,15.029654299,13.233796621,,27.735924199,16.011881927,,16.814266299,20.193178072,19.463744328,,68.235084304,44.062020272,9.1622848601,,16.234593234,,9.9094105438,16.758402875,206.51718649,22.305317714,,,4.5795986276,34.814098416,30.228034221,,45.364887121,,19.857106455
2010-01-06,,8.727597877,10.549051495,6.5834646004,20.411398658,43.733221439,21.98726708,12.93,,18.52156235,8.1234801661,10.699002725,,589.35731084,,43.874262345,15.062541945,13.613694253,,27.811451433,16.224411289,,17.029488908,20.287252975,20.080353152,,67.647333373,43.305631832,9.1388997532,,16.284976454,,9.9586220634,17.070477417,212.2147148,22.924273088,,,4.6146994881,33.973629302,30.602573176,,44.934207813,,19.857106455
2010-01-07,,8.676259066,10.67747473,6.5406220976,20.500963686,43.937245798,22.296748766,12.88,19.559269523,18.650125766,8.1690607905,10.807415672,,609.94857237,,44.585171758,15.259867822,13.676314742,,27.788212284,16.725659784,,17.120958516,20.451884057,21.662441582,,68.291060583,42.166261904,8.9892350695,,16.212200691,,10.079413975,17.750799917,213.07444413,22.916631663,,,4.5881079271,32.871680908,31.059327999,,45.643561968,,19.490896028
2010-01-08,,8.676259066,10.622436201,6.5334816804,20.222840702,43.625208543,22.838341717,13.13,19.911336374,18.599543439,8.5944799513,10.671899488,,627.67010153,,43.978807847,15.658173759,13.613694253,,27.497722923,16.565260266,,16.991824951,20.291956721,22.133011474,,67.665992133,41.486469761,8.8723095353,,16.245789505,,10.168889465,17.794490353,214.50246913,23.031253029,,,4.5503479105,33.263899828,30.657383755,,44.59642012,,19.409152629
2010-01-11,,8.5393555699,10.741686348,6.5192008462,19.760873712,42.383060239,22.6484325,13.25,19.481032444,19.15173385,8.3615123156,10.726105962,,649.59373881,,38.221835536,15.384110041,13.3548629,,26.748260372,16.51714041,,17.067152864,20.254326759,21.792253966,,68.692223917,41.314128091,8.6353404526,,16.318565268,,10.043623779,17.963010605,217.07437129,22.488711899,,,4.6125721632,32.69424854,31.022787614,,44.427526274,,19.857106455
2010-01-12,,8.4623473533,10.750859436,6.512060429,19.280050926,41.710979998,22.345984489,13.27,,18.962050121,8.3108671775,10.549934923,,631.72313264,,39.420623959,15.128317237,13.158652035,,26.405482925,16.236441253,,16.593663125,20.193178072,22.48999553,,70.679381828,39.542838706,8.5994832888,48.973390021,16.368948488,,9.7631261781,17.838180789,213.04530077,22.160130652,,,4.619485969,31.5829616,30.821815491,,43.861731889,,20.190619522
2010-01-13,,8.4623473533,10.769205613,6.5192008462,19.143346408,41.344936295,22.43742226,13.03,,18.999986867,8.3311252327,10.434746166,,625.1264751,,39.357896658,15.599706832,13.037585757,,26.93998335,16.448970615,,16.825027429,20.498921509,22.514335352,,71.658966713,40.308801683,8.8738685424,,16.704836624,,9.6138290679,18.062874459,213.679169,22.160130652,,,4.629058931,31.405529231,30.154953449,,44.478194428,,19.971547213
2010-01-14,,8.9329531212,10.237166494,6.5334816804,19.746731865,41.662974266,22.465556958,13.16,,19.276082072,8.5083832164,10.299229982,,626.16069684,,38.96759345,16.041862965,13.02088696,,27.497722923,17.254978195,,16.927258168,21.025740969,23.195850368,,71.985495008,41.821578564,8.805272229,,16.704836624,,9.4419111833,18.892992739,216.05435344,22.144847803,,,4.701919808,32.30202962,30.465546729,,44.461305043,,20.020593253
2010-01-15,,8.9415095897,10.04453164,6.5263412633,19.817441099,41.320933429,22.282681417,13.3,,18.513131962,8.5083832164,10.123058943,,611.25299618,,38.93971465,15.468156248,12.649338726,,27.1898042,17.487557497,,16.496812951,20.52714398,23.163397272,,71.994824388,41.802429489,8.9939120908,,16.57048137,,9.2292759051,18.218911729,206.41518471,22.12192353,,,4.5540707291,31.984519065,30.502087115,,43.844842504,,20.131764275
2010-01-18,,8.9415095897,10.127089435,6.5192008462,19.817441099,42.125029432,22.219378344,13.38,,18.873531047,8.4982541888,10.095955706,,618.83728889,,39.232442055,15.632594479,12.941567674,,27.468673987,17.535677352,,16.539857473,20.687071316,23.203963642,,72.312023303,42.080091069,9.0313282618,,16.402537302,,9.1025995692,18.568435216,209.82495868,22.649181811,,,4.6258679437,31.97518052,30.328520282,,43.515499504,,20.278902393
2010-01-19,,8.8046060936,10.053704729,6.5049200119,19.902292178,41.47095134,21.945065031,13.3,19.402795366,18.75972081,8.7210927968,10.245023509,,612.93942982,,38.870017648,15.530277357,12.945742373,,27.451244625,17.99281598,,16.663610473,20.240215524,22.993018518,,72.013483148,40.83540123,9.098365568,,16.228995098,,9.0935512595,18.499778817,208.92151429,21.930887921,,,4.6434183739,31.284128137,30.291979896,,43.447941965,,20.301790545
2010-01-20,,8.5735814439,9.7326466401,6.3335500006,19.902292178,41.146912652,21.656684369,12.75,,18.793442362,8.8578346699,10.041749233,,598.83301807,,38.97456315,15.811649441,12.732832711,,27.143325903,17.772266642,,16.060987169,20.13673313,23.285096382,,70.231571594,40.270503535,8.8520424427,,15.904303233,,9.138792808,18.293809619,204.01814275,21.778059433,,,4.6402273866,30.835877943,30.584302983,,43.557722966,,20.295251073
2010-01-21,,8.4366779478,9.6317426693,6.1264779036,19.916434025,40.954889726,20.679003587,12.52,19.559269523,18.589005454,8.5640928684,9.7165103915,,574.58005256,,38.849108548,15.000420836,12.528272448,,27.166565052,16.625410085,,15.162432777,20.28254923,23.236416738,,67.693980272,39.380071573,8.7865641435,,14.683909673,,9.0121164721,17.963010605,196.89987528,21.40362964,,,4.5280109993,29.855330643,29.287119284,,43.481720735,,19.556290747
2010-01-22,,8.4623473533,9.512492522,6.0764949837,19.595885501,39.970772229,20.151477986,12.07,19.559269523,18.508916768,8.8983507805,9.3031860303,,578.49332399,,38.514562942,14.697123654,12.411380869,,26.66692335,16.541200338,,15.070963169,20.517736489,22.230370762,,64.792543135,39.935394732,8.995471098,,14.818264927,,8.9713990784,17.638453082,189.24245553,20.777032842,,,4.4647230843,29.677898274,28.848634654,,43.219935273,,19.203159264
2010-01-25,,8.4794602903,9.3748961981,6.0265120637,19.492178626,39.832755751,19.342605396,12.02,,18.064213803,8.5590283546,9.0795843268,,568.84990513,,38.103350634,14.719048752,12.319537486,,25.836123778,16.180301421,,15.216238429,19.887434635,22.441315886,,64.102169025,39.131133606,9.0780984755,,14.549554418,,8.7361430259,17.326378541,182.11690222,21.395988215,,,4.3971805194,28.9681688,28.099556743,,43.067930811,,19.278363191
2010-01-26,,8.6591461289,9.5767041398,6.0693545665,19.468608881,39.196679808,19.427009493,12.29,,18.178024041,8.5944799513,9.4251505959,,568.23496247,,37.90819903,14.810403324,12.511573651,,25.260954843,15.967772059,,15.22699956,19.341800194,22.376409694,,62.768067705,39.140708143,9.0406823045,,14.28084391,,8.5958942254,17.226514688,189.34445731,21.395988215,,,4.5620481974,28.3144706,28.428420216,,42.645696195,,18.997165899
2010-01-27,,8.71048494,9.5950503163,6.0193716466,19.393185699,38.608609597,19.328538047,12.09,,18.277081099,8.7362863383,8.6730357748,,566.16651901,,37.838502029,15.815303624,12.382157974,,24.296530164,16.749719712,,15.108627125,19.308873977,22.619807914,10.304884325,62.46019817,38.499214149,9.034446276,,14.38161035,,8.4646937346,17.444966867,183.95293436,21.395988215,,,4.5678983408,27.838204769,28.108691839,,42.983483888,,19.131225073
2010-01-28,,8.9072837157,9.8243775227,5.9979503952,19.638311041,38.920646852,19.398874794,11.87,18.776898742,18.081074579,8.4324155091,8.3749001701,,572.96815743,,38.535472042,15.471810431,12.524097749,,25.109900375,16.7537297,,14.898785082,19.313577722,21.849046884,,62.665444527,39.360922499,9.0625084042,49.381501604,14.006535265,,8.6909014773,17.675902027,180.65973386,21.587023824,,,4.4849326706,28.547934243,27.661072112,,43.760395581,,19.461468404
2010-01-29,,8.8730578416,9.6959542871,6.0836354008,19.798585303,38.716622493,19.356672746,11.72,18.776898742,17.334985245,8.3615123156,8.2868146505,,618.52981756,,38.584259943,14.777515678,12.707784516,,24.987894843,16.060001783,,14.263878386,19.431171352,20.932246922,10.583394712,62.338916232,38.796024803,9.148253796,53.054505856,14.717498486,,8.8718676716,17.510180674,176.28094292,21.013916997,,,4.4870599955,28.44521024,27.697612498,,43.346605658,,18.961198803
