,MFRISCOA-1,RA,SIMECB,FUNO11,ICHB,GENTERA,SORIANAB,ELEKTRA,CHDRAUIB,LIVEPOLC-1,AUTLANB,HERDEZ,GAPB,OMAB,MEGACPO,PINFRA,LABB,ALSEA,ARA,ASURB,AMXB,AC,AXTELCPO,KIMBERA,CEMEXCPO,BIMBOA,BOLSAA,GCARSOA1,FEMSAUBD,GFNORTEO,GFINBURO,ORBIA,GRUMAB,GMEXICOB,PE&OLES,TLEVISACPO,SIGMAFA,WALMEX
MFRISCOA-1,2.220446049250313e-16,0.02772709748894027,0.02966068172125305,0.011676815959519832,0.013742359985355751,0.010404460126546583,0.026099365878714836,0.060721347463966784,0.019309108070905634,0.019616194721344515,0.0031767454012997798,0.03280460637871903,-0.03481283818715003,-0.021248857371851296,0.0064932866525759525,0.020208659735909185,0.03707966419185037,0.00293592879231655,0.026035911682200485,-0.019940106603184404,0.0023135677294986168,0.0213359413716252,0.016692746471717854,-0.008627090355413619,-0.0008932246115997966,0.03230491347890102,0.01705758277581451,-0.014920433152323193,0.040925421376433346,0.019963915404511617,-0.03679594367780725,0.001034753382044673,0.042061312526815456,-0.003150376648775516,-0.0960582094934554,-0.0001215157646423104,0.008938535282586951,0.012716895325691924
RA,0.02772709748894027,-2.220446049250313e-16,-0.006848990069455857,-0.026942840047638278,-0.023273370101942567,-0.05697433528150325,0.013111616547014648,0.03765140152409276,-0.0379026199260139,-0.03874766098330565,0.018552351418120144,-0.0443857619465684,0.015445018800580856,-0.03206283604626503,0.0026404769986008714,-0.015200672607524723,0.0195705678469745,-0.04598598381838695,-0.01530837588075934,0.011488477809952324,0.0629251573279157,0.006774908544620123,-0.026745198275721638,0.024178912809183245,0.005842096907175132,0.04023796835763882,-0.05777497625875544,0.04184987142123017,0.009669592643971686,-0.10611944076899038,-0.03170503938339064,0.04331949366010737,0.03637098208594808,-0.001857890436817916,0.015295142008362683,0.023441552217246586,-0.005533304483136936,0.010637394253518201
SIMECB,0.029660681721253024,-0.006848990069455871,-3.3306690738754696e-16,0.014526741746082754,-0.18556761708995756,-0.00015312421584297298,-0.015086928989288984,0.029273571220978928,0.00642137658968242,0.0057340126877055975,-0.016006218849628412,0.04356373481369111,-0.049539221802307284,-0.07131371590398745,0.0010672978021539076,0.0029318946890982966,0.032300580766031636,-0.013212996420674056,0.0471773014376079,-0.05402032101853278,0.006229683816373524,0.03648516849209896,0.02401858366466754,0.03859700187070941,-0.0013331305176431385,0.0582487355424476,0.039600024127285166,0.01892516771615127,-0.016085772873174822,0.004065210512927284,0.0490903544841043,0.018395804889064143,0.027834328839599715,0.02927901638030339,0.03962682219230525,0.014621057588839304,-0.013996010151533594,0.04041490562262606
FUNO11,0.011676815959519846,-0.026942840047638278,0.014526741746082768,0.0,-0.008482720442059888,-0.012036707792263873,-0.016194825895984394,0.03373822871416148,-0.0038493497553553913,-0.03338594715201776,-0.004366290366692657,0.02772109159223826,-0.022170055341166894,-0.002266858631586044,0.01746490517552897,-0.024921233967262924,0.006921383544449378,-0.02490466154057333,0.031001865674807255,0.01109434427100775,-0.02383538480320918,-0.006659258407495677,-0.016573400602865024,0.006549304009746487,0.0117196651374189,-0.008782485515340749,0.014248123227129456,-0.023384746055216843,0.01942283984683077,-0.038721985565548456,-0.036612443419136,0.00037092820539244564,0.05388339621451066,-0.010510838247679594,0.002215499041847424,0.004189186605296075,-0.0018056193512885899,0.024378771221188367
ICHB,0.013742359985355751,-0.02327337010194254,-0.18556761708995756,-0.008482720442059902,-2.220446049250313e-16,-0.017057859842445802,-0.0035477931040150124,0.013392210225474516,-0.013533150984333192,-0.018722228246650402,0.03257428970120596,0.0038744347019641356,-0.0422695522338098,-0.01846288150550352,0.04795718548098265,-0.007506607032170182,0.03252036417012423,0.0003884830056203048,-0.02893872556094476,-0.06855450227787575,0.046932288306998804,0.023436844459399253,0.03428162945134593,0.029128699062585584,0.04829153173558293,-0.0045724838580466776,0.030879936403637592,-0.0030812646075002725,-0.020689464567641425,-0.006123819183106449,0.01755855739948875,0.004368231368893805,0.03826305176495352,0.011617482112659727,0.040984486669370934,-0.00015174575108525823,0.0060021937358635535,0.021028552000337458
GENTERA,0.010404460126546555,-0.0569743352815032,-0.00015312421584298685,-0.012036707792263762,-0.017057859842445816,2.220446049250313e-16,-0.00033170953687400306,-0.010974649211728596,0.03198205105593588,-0.03481622264821599,0.0019369494339338267,0.01440031138284234,-0.009153518614670397,-0.03727684548587412,0.03476894664043559,0.01967663966300373,-0.018691862373080653,-0.05436979071091155,-0.04551549546282185,-0.007994953551478612,0.0032977999794514545,0.030809188167702672,-0.007763085210846343,-0.013727506050510818,-0.032937256067906706,0.030557129072232486,0.001577784202766802,-0.021890361063761132,-0.0014747737159420127,-0.0190400293016581,-0.0547968711289773,0.027848987845382256,0.016614912278884814,0.04306997618485747,0.020328263942807012,0.020283610999628388,-0.033471079577191865,0.02927962986194385
SORIANAB,0.026099365878714878,0.013111616547014704,-0.015086928989289011,-0.016194825895984394,-0.003547793104015068,-0.0003317095368740308,2.220446049250313e-16,0.0170617237880831,-0.06421321732039786,-0.012237592252314966,0.007958085741510107,-0.02067244134114468,-0.019562408485944316,0.011694829397919021,0.019894097860877688,0.03223491974489623,0.025944831618107636,-0.010439838404692092,0.02713431645481329,0.005772523285627662,0.030822049839870302,0.017572879136191766,-0.011646405133115212,0.03230614108115773,-0.012959553131259627,0.035056023577222706,0.05346356875432205,0.017124074773529285,0.0007411892941350251,-0.02868484360171536,0.045455098247397796,0.03077266761589159,0.005157305863370654,0.0463525316198411,0.05533461971193225,0.017649017540793482,-0.021235921257131862,-0.012581215793652623
ELEKTRA,0.06072134746396679,0.03765140152409284,0.029273571220978886,0.03373822871416149,0.013392210225474419,-0.010974649211728527,0.017061723788083072,-1.1102230246251565e-16,0.05593443125225793,0.016966280336888795,-0.021787384209252483,0.04466989704685426,-0.007497073431371723,-0.007311227671267753,0.03514386562529064,-0.01554266688970976,-0.03303798454794403,0.023975598840557846,0.03357280521378181,-0.023753899662747976,0.025959498961861255,-0.005119098915980683,-0.0008110075640741787,-0.004849937718794245,-0.008424962563070792,-0.01939289537755351,0.02485853910850057,-0.015536995978366358,-0.005945549605720857,0.01901526421891639,0.029062384115500606,0.009038070181728669,0.002182000010837945,0.0401223466113108,0.03458863705639434,0.00568501423836304,-0.011844346922900428,0.01002071180538476
CHDRAUIB,0.01930910807090566,-0.0379026199260139,0.006421376589682476,-0.0038493497553553913,-0.01353315098433322,0.03198205105593582,-0.06421321732039795,0.05593443125225789,-2.220446049250313e-16,-0.024220828566531932,0.051635687664045485,-0.018723866668459432,0.0002774751829560662,-0.0045548762510333185,0.03138324454513747,0.0105568592960823,0.030851948547071684,0.0019461739025688762,0.010943253596960911,-0.01276566346177141,-0.012021807597015044,-0.007852217349621216,-0.00680969155091804,0.02811102926869677,-0.007977700743618726,-0.021671116596877482,-0.00745085534650583,-0.00814826635967647,0.023344764484328734,-0.011982273318731751,-0.027610862248707846,0.01120754241800584,0.013222597195479302,0.014544598659126301,0.011443444562907856,-0.01013793868531404,0.008525540428138911,-0.03479528603618154
LIVEPOLC-1,0.01961619472134457,-0.03874766098330562,0.005734012687705584,-0.03338594715201776,-0.018722228246650402,-0.03481622264821599,-0.012237592252315022,0.01696628033688878,-0.024220828566531988,0.0,0.013670851316501559,-0.043590177422375864,-0.03240608267058048,0.003291954602958669,0.009909815671313854,-0.005239274083427725,0.04204915730580422,-0.014809835224436962,0.006776857949676335,-0.011713960374936772,0.006260008907999132,-0.01708284334500107,0.0024386988605597515,-0.033547216794075935,0.011038576640089282,-0.029497483260809254,0.0012507507845113675,0.012089364675607006,-0.046373589038882834,-0.0440551983228083,-0.04491927227586223,-0.043427415885371135,0.0366975213809001,0.029572554451972904,-0.016790278597576924,0.010107256979993484,-0.03687206841149582,-0.016214298853940684
