,MFRISCOA-1,RA,SIMECB,FUNO11,ICHB,GENTERA,SORIANAB,ELEKTRA,CHDRAUIB,LIVEPOLC-1,AUTLANB,HERDEZ,GAPB,OMAB,MEGACPO,PINFRA,LABB,ALSEA,ARA,ASURB,AMXB,AC,AXTELCPO,KIMBERA,CEMEXCPO,BIMBOA,BOLSAA,GCARSOA1,FEMSAUBD,GFNORTEO,GFINBURO,ORBIA,GRUMAB,GMEXICOB,PE&OLES,TLEVISACPO,SIGMAFA,WALMEX
MFRISCOA-1,0.9999999999999998,0.1108304778969899,0.11304095363536959,0.11918890986695388,0.16279500272115496,0.1373428065727532,0.1175776966181066,0.05419783786320933,0.1580796186245423,0.1598362461385436,0.12172176465622798,0.09606906276388803,0.14661884348386714,0.1315460794204679,0.09942038945891805,0.13347458014703453,0.10604446690727083,0.15954510929389254,0.14569661312694485,0.13324382410483301,0.16341710598895057,0.13310434149226014,0.12444628781111179,0.18763416012138642,0.19006243331282371,0.16600778995166265,0.14230525427767607,0.21064715169905418,0.12501519680252288,0.16842877001209228,0.23362509507832677,0.1972278990774991,0.10725036991348037,0.2064382003309951,0.2855368175751906,0.15093182989159706,0.1731134651837261,0.14889180320283532
RA,0.1108304778969899,1.0,0.08254901283567788,0.25678055719899595,0.1343769371460182,0.2909160722593578,0.1430250126672557,0.05431951321116573,0.2406692959121024,0.282382231919445,0.090903142999316,0.22169502001388647,0.2535429119877181,0.29390500433652783,0.1371296122659042,0.25250483038538746,0.13519334922036408,0.2784596383299096,0.1790477623506491,0.2524812994068719,0.16702735215166992,0.20155332649840624,0.1785044420968502,0.17957692582401188,0.23620988463777912,0.1841223216939763,0.2464812266637052,0.20348480118971185,0.22558623207122436,0.36703999574437435,0.2951714389609622,0.1871501681985991,0.13452743973362,0.22806439477751608,0.1605767947704308,0.20684244932995785,0.2530775722043348,0.18440945063137595
SIMECB,0.11304095363536959,0.08254901283567788,1.0000000000000002,0.05185311786993566,0.3595224467803609,0.08593401074605438,0.1287813181174242,0.07562883489915813,0.12970906423949446,0.1156416595815579,0.12598831050573775,0.04260795577299091,0.07543831024145174,0.09835500829101625,0.0722765673929655,0.08885654411685676,0.0812837340352971,0.11806918468809181,0.0984277843728465,0.08392422063757414,0.10376598141756184,0.06854522607078144,0.08835443224698705,0.09914055569439797,0.13554944258593155,0.0949249903694447,0.07992050153713007,0.12211093044263993,0.12409429114649283,0.12117307348818278,0.08563352899161987,0.13212316643874306,0.08665369962314574,0.12934219214394138,0.12305570691759478,0.07654785487289588,0.13696854685927978,0.07922814041001466
FUNO11,0.11918890986695387,0.25678055719899595,0.05185311786993566,1.0,0.10897985551693681,0.24456061208307248,0.16717658098939361,0.05236791929640399,0.2007805289290819,0.27315486795095933,0.10795033194910178,0.14693604610595823,0.29495095617753053,0.26766476698128705,0.11981071583626642,0.2604311659693341,0.14266665543673038,0.254506915382398,0.12536505174639972,0.25626300197997515,0.2504796243328099,0.21158928506388006,0.16318314547659032,0.19127225461502276,0.22547554164159836,0.22649598209636249,0.1695619207239384,0.2634239909116851,0.21278573950722685,0.2958567277939808,0.295639923882298,0.2237798971397442,0.1121151079337464,0.2297036518434164,0.1652687921741626,0.2241973934013321,0.24544836760436645,0.16589766044984597
ICHB,0.16279500272115496,0.1343769371460182,0.3595224467803609,0.10897985551693683,1.0000000000000002,0.13991892862598285,0.14928323707931973,0.11528495591041946,0.18978531874419227,0.1828544710160533,0.10378185303466775,0.11313478785013795,0.10140576231141685,0.07809482713947728,0.05039524549975432,0.13752512053421473,0.11293824317235175,0.14384952012942898,0.2115529689510439,0.13165536551646068,0.10282912094367463,0.11831477334390264,0.1094752768579642,0.14904816350233935,0.13016466213551,0.20246968230979176,0.1250536747764984,0.189603228097852,0.16879628045715522,0.17653863499281844,0.16385041786738447,0.19121007385267735,0.1100089482260969,0.19263623854775344,0.16226202149858346,0.1286905844221197,0.16036770410001502,0.13574799393602235
GENTERA,0.1373428065727532,0.2909160722593577,0.08593401074605438,0.24456061208307248,0.13991892862598287,0.9999999999999998,0.16335064968213356,0.10979601003263574,0.1788731283090109,0.28505897644065986,0.11457554563206085,0.16755880761021844,0.27746718871645226,0.29859759654482354,0.10906585020969226,0.222115213592336,0.1803431602352571,0.2923409457478595,0.21841675446924338,0.27163392078161014,0.2325553289773099,0.18326130896404758,0.1663492680236333,0.22568083028414418,0.28255928563780575,0.2029407566822545,0.1941274702752646,0.2752663336542918,0.24243377863995466,0.28668750158021167,0.32566505204975515,0.2115038694661563,0.1610825427944412,0.19265800146407747,0.1658480301282163,0.2145098410874463,0.2877037046098353,0.172714349963742
SORIANAB,0.11757769661810659,0.1430250126672557,0.1287813181174242,0.16717658098939361,0.14928323707931976,0.16335064968213356,0.9999999999999998,0.08352818512587334,0.2371900904435721,0.1984416435615346,0.10413289611753453,0.15507718397172127,0.16970480877155758,0.13539754155087905,0.08883246535297763,0.13557555894813195,0.11104633596703044,0.1824938424223009,0.130844173187073,0.14387035154860747,0.14258477578761447,0.1422852699919356,0.1464876275495738,0.14199816512655958,0.20494320406446656,0.15764766450295647,0.10384161268084989,0.18002707063933274,0.17434493241737573,0.22566479357482955,0.1576844970980263,0.16367808162179293,0.14050653227601306,0.15008403923720628,0.11757441221302663,0.14627190564157272,0.21024811597377602,0.17317532158684
ELEKTRA,0.05419783786320932,0.054319513211165724,0.07562883489915813,0.052367919296403984,0.11528495591041947,0.10979601003263573,0.08352818512587334,1.0,0.06762837780800995,0.10561055834305799,0.11088372819608089,0.04321112416036013,0.07649195674497572,0.07559631271744305,0.037454815852202485,0.11871422540131901,0.1332893536566935,0.0862610794749787,0.088099306942449,0.09421558449033575,0.08693319264064431,0.11069598702649507,0.09972591962774656,0.12959419505554096,0.1385687498076285,0.15767686352356203,0.08573620947649865,0.15051365045408416,0.11866583048271986,0.10934430828942951,0.10562040833594713,0.12882295280307285,0.10180911983042205,0.10186882159984352,0.09995783085195964,0.09572049554708735,0.13617290245889385,0.10190095244923167
CHDRAUIB,0.15807961862454228,0.2406692959121024,0.12970906423949446,0.2007805289290819,0.1897853187441923,0.17887312830901092,0.23719009044357212,0.06762837780800995,1.0,0.2621187371238987,0.08692548403864316,0.19062316963521234,0.2006096880107248,0.20115109674569256,0.10721674182167276,0.20605690718249398,0.14111237160844492,0.21879204211052722,0.18552549866838625,0.2124693455453538,0.23395230038185702,0.211985818153474,0.1760032597508727,0.19154656566961084,0.2521172531589902,0.26440262463283914,0.20628862442379395,0.258455317654174,0.20111928117178668,0.2640457778564208,0.28685521766940825,0.2342337222639265,0.17042014206862272,0.2325765671416485,0.20317598067239526,0.22154109375566808,0.23298952131637524,0.23808957148488524
LIVEPOLC-1,0.1598362461385436,0.28238223191944495,0.1156416595815579,0.27315486795095933,0.1828544710160533,0.28505897644065986,0.19844164356153457,0.10561055834305799,0.26211873712389877,1.0,0.127156244607067,0.2404465413146924,0.2954115010512033,0.2533488171306159,0.14711015746551095,0.26070188829391217,0.142820223395431,0.27014990164810004,0.19746011886890902,0.27133853047865464,0.24844468287047758,0.2496640484725672,0.17917939955646947,0.27292625403159365,0.2633343100111731,0.2935958511515354,0.2177130930634362,0.26770415628243815,0.30541452407242203,0.3332073035692995,0.3397019208526269,0.31239681790093843,0.163726627929243,0.23812242023757987,0.238298362377415,0.23851050785942332,0.3126129698445004,0.24121182931990293
AUTLANB,0.12172176465622798,0.090903142999316,0.12598831050573775,0.10795033194910177,0.10378185303466775,0.11457554563206085,0.10413289611753451,0.11088372819608089,0.08692548403864316,0.127156244607067,0.9999999999999999,0.09989618462347857,0.1241594128872525,0.09307990581057726,0.05720645791048899,0.12421763755962052,0.10674112773155107,0.08933060331051888,0.12277220118373058,0.12080312426672267,0.11912148014590304,0.1278352967847879,0.07339607559888846,0.09772183287233262,0.17301309133884202,0.09621445340545613,0.11281746607714119,0.12422707428951317,0.12930120188275984,0.15128594369920026,0.1350957931259462,0.14499238013808116,0.08264215426655844,0.16826132384229478,0.1645061477114577,0.07210849661641253,0.12498081415917246,0.09519143596528214
HERDEZ,0.09606906276388803,0.22169502001388647,0.04260795577299091,0.14693604610595826,0.11313478785013793,0.16755880761021844,0.15507718397172127,0.04321112416036013,0.19062316963521236,0.24044654131469237,0.09989618462347857,0.9999999999999999,0.17305709908528746,0.18565664429637935,0.11870189947563767,0.1708808200718633,0.11713947252973786,0.21315193233600313,0.19015913600530268,0.1708119155860705,0.1709899418495152,0.16984230846343618,0.144793837839178,0.16316955738589559,0.14288064936718375,0.1649429336021749,0.18106636478223667,0.20290649488202875,0.16849161103377705,0.20299833547895801,0.20870112438029512,0.16191360912493571,0.14447181780867777,0.14058831868930377,0.12393337696372356,0.15585264315649183,0.18366118158752126,0.15777994153127806
GAPB,0.14661884348386714,0.2535429119877181,0.07543831024145173,0.29495095617753053,0.10140576231141685,0.27746718871645226,0.16970480877155758,0.07649195674497572,0.20060968801072476,0.29541150105120323,0.12415941288725249,0.17305709908528746,1.0000000000000002,0.5242774451911996,0.13464730959409613,0.3111595374434194,0.1369656597154219,0.2563114127197856,0.13045778512247821,0.5913481680155697,0.24916714279545707,0.2366684216426205,0.12281654729699676,0.2118770062747234,0.26670217749144015,0.24783715914489257,0.1670670953992771,0.29177874165843215,0.26787688108973184,0.3026522439312514,0.3116357411230774,0.25647778788245235,0.16591950324337584,0.26153830925326926,0.20103310517525314,0.2790671454599185,0.3194593285547374,0.20808313883048352
OMAB,0.1315460794204679,0.29390500433652783,0.09835500829101625,0.26766476698128705,0.07809482713947728,0.29859759654482354,0.13539754155087902,0.07559631271744305,0.20115109674569256,0.2533488171306159,0.09307990581057726,0.18565664429637935,0.5242774451911995,1.0,0.1643423450830105,0.31073635304975394,0.12834665021206185,0.256554977498434,0.17503081327454195,0.46966736615004095,0.24301445971731528,0.22348755824924407,0.15987280955575994,0.179566373424569,0.275190586476061,0.20941494546376022,0.20626210068410136,0.2705542258141471,0.25594474154218894,0.3076778408663884,0.28425318227385493,0.24057387206429046,0.18188301378160762,0.25574115232887795,0.15124510368503857,0.25965157001032924,0.2922246124761853,0.19729362225065472
MEGACPO,0.09942038945891805,0.13712961226590423,0.0722765673929655,0.11981071583626642,0.05039524549975432,0.10906585020969227,0.08883246535297763,0.037454815852202485,0.10721674182167278,0.14711015746551098,0.057206457910489,0.11870189947563765,0.13464730959409613,0.1643423450830105,1.0,0.12079294468861869,0.08716271042376804,0.1397962273269869,0.09211722494815812,0.11101771920712061,0.13242705132562838,0.1017507447951766,0.10567100816471162,0.1481497832607282,0.1510066157039108,0.12497264621276909,0.15451311689001934,0.14623791783211432,0.08133581548993311,0.1679326629853001,0.17002614235538838,0.16614314321359383,0.13746422657211926,0.15031043604539174,0.13429417562186546,0.20445166921840377,0.12288547021446337,0.11807434909231372
PINFRA,0.13347458014703456,0.25250483038538746,0.08885654411685676,0.2604311659693341,0.13752512053421473,0.22211521359233602,0.13557555894813197,0.118714225401319,0.206056907182494,0.26070188829391217,0.12421763755962052,0.1708808200718633,0.31115953744341934,0.31073635304975394,0.12079294468861869,0.9999999999999999,0.17883930740970103,0.25112929935842804,0.1671743081371909,0.28478148151277044,0.2429386518653547,0.25259354040973964,0.14013613028646787,0.22020774134749613,0.2342916223556888,0.2507781332586157,0.21972913946387213,0.30044604426207744,0.22626784816608778,0.2646635943929349,0.30234374194688907,0.2777979021771046,0.19377694080808952,0.275679918809505,0.20417263288073545,0.21151728603294906,0.27974376136314527,0.19278635602925787
LABB,0.10604446690727083,0.13519334922036408,0.08128373403529711,0.14266665543673035,0.11293824317235175,0.18034316023525707,0.11104633596703044,0.13328935365669353,0.14111237160844492,0.142820223395431,0.10674112773155107,0.11713947252973785,0.1369656597154219,0.12834665021206185,0.08716271042376804,0.17883930740970105,1.0000000000000002,0.17667824068744573,0.15225612499721658,0.14793875128803968,0.1800885230508651,0.1343681898051775,0.10057670904453812,0.1836404749376929,0.19767579787448855,0.18824697005411872,0.16396646257242872,0.1931010842766975,0.15831074780812168,0.18065993131900354,0.205411504911657,0.20201443775066327,0.11759861229395072,0.20522683831305888,0.10860584345782168,0.15768808324421338,0.19115911647989597,0.15160636741691771
ALSEA,0.15954510929389257,0.27845963832990966,0.1180691846880918,0.25450691538239806,0.14384952012942898,0.2923409457478595,0.1824938424223009,0.0862610794749787,0.2187920421105272,0.2701499016481,0.08933060331051888,0.21315193233600313,0.2563114127197856,0.256554977498434,0.1397962273269869,0.251129299358428,0.17667824068744573,1.0,0.17117968881413526,0.2583801285148437,0.22402373013084126,0.1778798281742277,0.15603688279969358,0.24002521861674356,0.2609293237971277,0.24830105923982887,0.21883496494605875,0.2683296990896731,0.2718821902829787,0.29825827753890183,0.28750737751989147,0.28825449409086523,0.18483536092896413,0.23265657200612758,0.18370421000079426,0.24390062891987513,0.2525901028378228,0.199145974067365
ARA,0.14569661312694485,0.1790477623506491,0.09842778437284648,0.12536505174639972,0.21155296895104392,0.21841675446924338,0.130844173187073,0.08809930694244898,0.18552549866838625,0.19746011886890905,0.12277220118373058,0.19015913600530265,0.13045778512247824,0.17503081327454195,0.09211722494815812,0.1671743081371909,0.1522561249972166,0.17117968881413526,1.0,0.1534292849195183,0.18511295999634703,0.1580535770999977,0.18494839107761757,0.17472907587118722,0.2481390840173168,0.21957701284360304,0.18553925888793202,0.19396884695998534,0.187487676417553,0.22606305057121445,0.2272388818319869,0.20089303293906738,0.12387374465755202,0.24463354627413667,0.19339884330941176,0.14468327924764887,0.1928189694296236,0.16071478265251188
ASURB,0.13324382410483301,0.2524812994068719,0.08392422063757413,0.25626300197997515,0.13165536551646068,0.27163392078161014,0.14387035154860744,0.09421558449033575,0.2124693455453538,0.2713385304786546,0.12080312426672266,0.17081191558607048,0.5913481680155696,0.4696673661500409,0.11101771920712061,0.28478148151277044,0.14793875128803965,0.2583801285148437,0.15342928491951832,1.0000000000000002,0.25720976287388536,0.21842141599127876,0.11979340699241417,0.2074193509978082,0.2957982344017008,0.23896313262931257,0.15897539379380324,0.28309799062434565,0.3048117877625627,0.29480264741695483,0.28951511453379913,0.24982891992758408,0.16067769474450616,0.24652099045082104,0.16250776499184266,0.29226640513318514,0.28765487800382,0.2027741125033905
AMXB,0.1634171059889506,0.16702735215166992,0.10376598141756183,0.2504796243328099,0.10282912094367465,0.2325553289773099,0.14258477578761447,0.08693319264064431,0.23395230038185705,0.24844468287047758,0.11912148014590304,0.1709899418495152,0.24916714279545707,0.24301445971731525,0.13242705132562838,0.2429386518653547,0.1800885230508651,0.22402373013084126,0.18511295999634703,0.2572097628738854,1.0000000000000002,0.22237472739471414,0.1266529030453567,0.21223958564195589,0.30399149603822323,0.26018975829614355,0.207496077508138,0.2904724753356982,0.28053217932622965,0.28565872337825116,0.31572672450603423,0.2744865117481973,0.17218924579291323,0.27845254466947345,0.18769641720182156,0.30776179000149156,0.28490394437983985,0.229592423330426
AC,0.13310434149226014,0.20155332649840624,0.06854522607078144,0.21158928506388003,0.11831477334390263,0.18326130896404758,0.14228526999193564,0.11069598702649507,0.211985818153474,0.24966404847256718,0.12783529678478792,0.16984230846343618,0.23666842164262047,0.22348755824924404,0.1017507447951766,0.2525935404097396,0.1343681898051775,0.1778798281742277,0.15805357709999768,0.21842141599127876,0.22237472739471414,1.0000000000000002,0.10242944191240695,0.23721623996063967,0.22405555393799395,0.2937452294844303,0.17136848452846365,0.2420264282227829,0.29087763983226694,0.23063312277253334,0.2591456859414257,0.20759101077691341,0.19319741465753218,0.22183850005524508,0.18134526481466748,0.14954679959824263,0.2439710311866446,0.2206049363381996
AXTELCPO,0.1244462878111118,0.1785044420968502,0.08835443224698705,0.16318314547659032,0.1094752768579642,0.16634926802363328,0.14648762754957384,0.09972591962774655,0.1760032597508727,0.17917939955646947,0.07339607559888847,0.144793837839178,0.12281654729699676,0.15987280955575997,0.10567100816471162,0.1401361302864679,0.10057670904453812,0.15603688279969358,0.18494839107761757,0.11979340699241418,0.1266529030453567,0.10242944191240695,1.0,0.15058649112684194,0.18680803164252935,0.1749643830319437,0.17642858694234925,0.1748027793408738,0.14717414551166005,0.20752997750556332,0.16918562739082207,0.1640690008120733,0.14071090657913587,0.17390660255074647,0.1304179739211931,0.18028329286984227,0.1746796116930731,0.14645881714020428
KIMBERA,0.18763416012138645,0.17957692582401188,0.09914055569439797,0.19127225461502279,0.14904816350233932,0.22568083028414418,0.1419981651265596,0.12959419505554096,0.19154656566961084,0.27292625403159365,0.09772183287233262,0.16316955738589559,0.21187700627472342,0.179566373424569,0.14814978326072822,0.22020774134749616,0.1836404749376929,0.24002521861674359,0.17472907587118722,0.20741935099780823,0.21223958564195589,0.2372162399606397,0.15058649112684194,1.0,0.24234520977365415,0.30305066416243803,0.21565546354554896,0.262807637784373,0.22633043976663322,0.24318745872810152,0.2988531909803561,0.245452410102483,0.18989094650761373,0.2410640487476484,0.20754639647757636,0.19026569407422744,0.27394706164638655,0.2174043063133845
CEMEXCPO,0.19006243331282371,0.23620988463777912,0.13554944258593157,0.22547554164159833,0.13016466213551003,0.28255928563780575,0.20494320406446653,0.1385687498076285,0.25211725315899025,0.263334310011173,0.17301309133884202,0.14288064936718378,0.26670217749144015,0.275190586476061,0.1510066157039108,0.2342916223556888,0.19767579787448858,0.2609293237971277,0.2481390840173168,0.2957982344017008,0.30399149603822323,0.22405555393799392,0.18680803164252935,0.24234520977365412,0.9999999999999999,0.2547022975711247,0.21356872728809664,0.28808739224993574,0.2761866819032422,0.3628531277354629,0.32207867656718514,0.3420008897533609,0.187828371209683,0.3777629595943248,0.23002017585074677,0.3489094577384037,0.299213803786397,0.19885827158608485
BIMBOA,0.16600778995166265,0.1841223216939763,0.0949249903694447,0.22649598209636246,0.20246968230979176,0.20294075668225448,0.15764766450295647,0.15767686352356203,0.26440262463283914,0.29359585115153536,0.09621445340545613,0.1649429336021749,0.24783715914489257,0.20941494546376022,0.1249726462127691,0.2507781332586157,0.18824697005411872,0.24830105923982887,0.219577012843603,0.23896313262931257,0.26018975829614355,0.2937452294844303,0.17496438303194373,0.30305066416243803,0.2547022975711247,1.0,0.1872282202438679,0.3588575471402337,0.2676834108316219,0.30539407230698046,0.3695202967452111,0.31216920217429733,0.2699905047315486,0.28828556335605715,0.2582466439643277,0.23609558506854822,0.28603962988458936,0.23431123426173903
