,MFRISCOA-1,RA,SIMECB,FUNO11,ICHB,GENTERA,SORIANAB,ELEKTRA,CHDRAUIB,LIVEPOLC-1,AUTLANB,HERDEZ,GAPB,OMAB,MEGACPO,PINFRA,LABB,ALSEA,ARA,ASURB,AMXB,AC,AXTELCPO,KIMBERA,CEMEXCPO,BIMBOA,BOLSAA,GCARSOA1,FEMSAUBD,GFNORTEO,GFINBURO,ORBIA,GRUMAB,GMEXICOB,PE&OLES,TLEVISACPO,SIGMAFA,WALMEX
MFRISCOA-1,1.0,0.13855757538593017,0.14270163535662264,0.1308657258264737,0.17653736270651071,0.14774726669929977,0.14367706249682144,0.11491918532717611,0.17738872669544795,0.17945244085988812,0.12489851005752776,0.12887366914260706,0.11180600529671711,0.1102972220486166,0.105913676111494,0.15368323988294372,0.1431241310991212,0.1624810380862091,0.17173252480914533,0.11330371750164861,0.16573067371844918,0.15444028286388534,0.14113903428282965,0.1790070697659728,0.18916920870122392,0.19831270343056367,0.15936283705349058,0.195726718546731,0.16594061817895622,0.1883926854166039,0.19682915140051951,0.19826265245954378,0.14931168244029583,0.2032878236822196,0.18947860808173522,0.15081031412695475,0.18205200046631306,0.16160869852852724
RA,0.13855757538593017,0.9999999999999998,0.07570002276622202,0.22983771715135767,0.11110356704407563,0.23394173697785453,0.15613662921427035,0.0919709147352585,0.2027666759860885,0.24363457093613936,0.10945549441743614,0.17730925806731807,0.26898793078829897,0.2618421682902628,0.13977008926450507,0.23730415777786273,0.15476391706733858,0.23247365451152266,0.16373938646988975,0.26396977721682424,0.22995250947958562,0.20832823504302636,0.15175924382112857,0.20375583863319513,0.24205198154495425,0.22436029005161512,0.18870625040494976,0.24533467261094202,0.23525582471519604,0.26092055497538397,0.26346639957757156,0.23046966185870646,0.17089842181956807,0.22620650434069817,0.17587193677879348,0.23028400154720444,0.24754426772119786,0.19504684488489415
SIMECB,0.1427016353566226,0.07570002276622201,0.9999999999999999,0.06637985961601842,0.17395482969040332,0.0857808865302114,0.1136943891281352,0.10490240612013706,0.13613044082917689,0.1213756722692635,0.10998209165610934,0.08617169058668202,0.025899088439144454,0.027041292387028796,0.0733438651951194,0.09178843880595505,0.11358431480132873,0.10485618826741776,0.1456050858104544,0.029903899619041354,0.10999566523393536,0.1050303945628804,0.11237301591165459,0.1377375575651074,0.1342163120682884,0.1531737259118923,0.11952052566441523,0.1410360981587912,0.108008518273318,0.12523828400111006,0.13472388347572417,0.1505189713278072,0.11448802846274546,0.15862120852424477,0.16268252910990003,0.09116891246173518,0.12297253670774619,0.11964304603264073
FUNO11,0.1308657258264737,0.22983771715135767,0.06637985961601843,1.0,0.10049713507487693,0.2325239042908086,0.15098175509340922,0.08610614801056547,0.19693117917372652,0.23976892079894158,0.10358404158240912,0.1746571376981965,0.27278090083636364,0.265397908349701,0.13727562101179538,0.23550993200207115,0.14958803898117976,0.22960225384182467,0.15636691742120698,0.2673573462509829,0.22664423952960072,0.20493002665638438,0.1466097448737253,0.19782155862476924,0.23719520677901726,0.21771349658102174,0.18381004395106784,0.24003924485646827,0.23220857935405761,0.25713474222843236,0.259027480463162,0.22415082534513664,0.16599850414825706,0.2191928135957368,0.16748429121601002,0.22838658000662818,0.24364274825307786,0.19027643167103434
ICHB,0.17653736270651071,0.11110356704407566,0.17395482969040332,0.10049713507487693,1.0,0.12286106878353704,0.14573544397530472,0.12867716613589397,0.17625216775985908,0.1641322427694029,0.1363561427358737,0.11700922255210208,0.05913621007760705,0.05963194563397376,0.09835243098073697,0.13001851350204455,0.14545860734247598,0.14423800313504928,0.18261424339009913,0.06310086323858492,0.14976140925067344,0.1417516178033019,0.14375690630931012,0.17817686256492493,0.17845619387109293,0.19789719845174508,0.155933611180136,0.18652196349035172,0.1481068158895138,0.170414815809712,0.18140897526687322,0.19557830522157116,0.14827199999105042,0.20425372066041317,0.2032465081679544,0.12853883867103444,0.16636989783587858,0.1567765459363598
GENTERA,0.14774726669929975,0.23394173697785453,0.08578088653021139,0.23252390429080871,0.12286106878353706,1.0,0.16301894014525956,0.09882136082090714,0.21085517936494677,0.2502427537924439,0.11651249506599468,0.18195911899306078,0.26831367010178186,0.2613207510589494,0.14383479685012784,0.24179185325533972,0.16165129786217644,0.23797115503694796,0.17290125900642153,0.2636389672301315,0.23585312895676136,0.21407049713175025,0.15858618281278697,0.21195332423363336,0.24962202956989904,0.233497885754487,0.19570525447803142,0.2533759725905307,0.24095900492401265,0.26764747227855357,0.27086818092077786,0.23935285731153855,0.17769745507332602,0.23572797764893494,0.18617629407102332,0.2347934520870747,0.25423262503264343,0.20199397982568584
SORIANAB,0.14367706249682147,0.1561366292142704,0.11369438912813518,0.15098175509340922,0.1457354439753047,0.16301894014525953,1.0,0.10058990891395644,0.17297687312317422,0.18620405130921963,0.11209098185904463,0.13440474263057658,0.15014240028561326,0.14709237094879807,0.10872656321385532,0.16781047869302818,0.13699116758513807,0.1720540040176088,0.1579784896418863,0.14964287483423513,0.17340682562748477,0.15985814912812737,0.1348412224164586,0.1743043062077173,0.19198365093320693,0.19270368808017918,0.15730518143517194,0.19715114541286202,0.17508612171151075,0.1969799499731142,0.20313959534542408,0.19445074923768452,0.14566383813938372,0.19643657085704738,0.17290903192495888,0.1639209231823662,0.18901219471664416,0.16059410579318736
ELEKTRA,0.11491918532717611,0.09197091473525856,0.10490240612013702,0.08610614801056547,0.1286771661358939,0.0988213608209072,0.10058990891395642,0.9999999999999999,0.12356280906026788,0.12257683867994679,0.0890963439868284,0.08788102120721439,0.068994883313604,0.0682850850461753,0.07259868147749313,0.10317155851160925,0.10025136910874947,0.11023667831553655,0.1216721121562308,0.07046168482758777,0.11289269160250556,0.10557688811051438,0.09891491206367238,0.12474425733674671,0.13014378724455772,0.13828396814600852,0.11059474858499922,0.1349766544757178,0.11272028087699901,0.1283595725083459,0.13468279245144774,0.13786102298480152,0.10399111984126,0.14199116821115432,0.13454646790835398,0.10140550978545039,0.12432855553599342,0.11192166425461643
CHDRAUIB,0.17738872669544795,0.2027666759860885,0.13613044082917694,0.19693117917372652,0.17625216775985908,0.21085517936494674,0.17297687312317417,0.12356280906026784,0.9999999999999998,0.23789790855736678,0.13856117170268864,0.1718993029667529,0.20088716319368086,0.19659622049465925,0.13859998636681023,0.21661376647857628,0.1719643201555166,0.2207382160130961,0.19646875226534716,0.19970368208358238,0.22193049278484198,0.2041336008038528,0.16919356819995465,0.2196575949383076,0.24413955241537147,0.24273150803596166,0.19883776907728812,0.25030705129449754,0.2244640456561154,0.25206350453768905,0.2592443554207004,0.24544126468193234,0.18364273926410202,0.2471211658007748,0.2146194252353031,0.21140315507035404,0.24151506174451415,0.2032942854487037
LIVEPOLC-1,0.17945244085988818,0.24363457093613933,0.12137567226926349,0.23976892079894158,0.1641322427694029,0.2502427537924439,0.18620405130921955,0.12257683867994677,0.23789790855736678,1.0,0.14082709592356857,0.19685636389231653,0.2630054183806228,0.2566407717335746,0.1570199731368248,0.25546261421048444,0.1848693807012352,0.2553400664236631,0.20423697681858535,0.25962457010371787,0.2547046917784767,0.23258120512756614,0.18161809841702922,0.23937903723751772,0.27437288665126236,0.26409836789072616,0.21896384384794756,0.27979352095804516,0.2590409350335392,0.2891521052464912,0.29478264857676467,0.2689694020155673,0.2004241493101431,0.2676949746895528,0.22150808377983808,0.2486177648394168,0.27574090143300456,0.22499753046596224
