,MFRISCOA-1,RA,SIMECB,FUNO11,ICHB,GENTERA,SORIANAB,ELEKTRA,CHDRAUIB,LIVEPOLC-1,AUTLANB,HERDEZ,GAPB,OMAB,MEGACPO,PINFRA,LABB,ALSEA,ARA,ASURB,AMXB,AC,AXTELCPO,KIMBERA,CEMEXCPO,BIMBOA,BOLSAA,GCARSOA1,FEMSAUBD,GFNORTEO,GFINBURO,ORBIA,GRUMAB,GMEXICOB,PE&OLES,TLEVISACPO,SIGMAFA,WALMEX
MFRISCOA-1,0.000653746,6.500913879271517e-05,6.286696292109329e-05,5.4678855217597004e-05,8.566879462327639e-05,8.649073467368839e-05,6.158756429256888e-05,6.0430395583138094e-05,7.630606349032356e-05,7.668224202479408e-05,6.987730221410691e-05,5.969537030813765e-05,5.124418783705727e-05,5.441659487300102e-05,4.21863321682949e-05,5.826107060618254e-05,8.570350334960343e-05,7.821326382392933e-05,9.087773132549515e-05,5.0085540592083914e-05,6.470324461597058e-05,5.0820914732007626e-05,0.00010785634827990923,7.55585225861499e-05,0.00011473026334203106,8.959490853786472e-05,7.279129966813793e-05,0.00010346664002459684,5.8934942595690664e-05,9.574619508593158e-05,9.823213439036063e-05,9.10753316181521e-05,6.417943887793039e-05,0.00010122234475312675,0.00012018760603266419,7.893639681296093e-05,9.191280888444454e-05,6.447337251680026e-05
RA,6.500913879271517e-05,0.00033672799999999995,2.3934515099912402e-05,6.892073299357939e-05,3.8694489159346146e-05,9.828628819501246e-05,4.8033638014148016e-05,3.470951119799877e-05,6.259861262596889e-05,7.471700219824206e-05,4.394925647693479e-05,5.894445585084777e-05,8.848045978438094e-05,9.271317835096786e-05,3.9954809239483926e-05,6.456429215416157e-05,6.651054680919131e-05,8.031313154803569e-05,6.218607891980806e-05,8.374473358913699e-05,6.443122820909194e-05,4.920000160913478e-05,8.323171006594601e-05,6.172462063699996e-05,0.00010535891236172953,7.274679785074439e-05,6.186055319143361e-05,9.307740241447731e-05,5.9964696413089716e-05,9.517017639343973e-05,9.43679433450304e-05,7.598164764453912e-05,5.271998426161699e-05,8.08360731702624e-05,8.006286709676683e-05,8.650577760116602e-05,8.969506524152216e-05,5.584569215223397e-05
SIMECB,6.286696292109329e-05,2.393451509991239e-05,0.0002968779999999999,1.8690215558971777e-05,5.6886209775922995e-05,3.38395942203557e-05,3.284196292904992e-05,3.7173446976517794e-05,3.94614255001197e-05,3.495115775051578e-05,4.146534970343361e-05,2.689834478117278e-05,7.99923485428871e-06,8.990393843895483e-06,1.9686477043786683e-05,2.3449005153238966e-05,4.583408439215861e-05,3.4013887884898255e-05,5.192373824638138e-05,8.908006351402723e-06,2.893897999964576e-05,2.3290637275121642e-05,5.786888211433942e-05,3.917871042915194e-05,5.485514028484027e-05,4.663388072650887e-05,3.6789120123059194e-05,5.024177809200535e-05,2.5850125441553847e-05,4.289227496200246e-05,4.530991411647368e-05,4.6594598761463664e-05,3.316245615492845e-05,5.3224399059906373e-05,6.95384330034451e-05,3.215714719314024e-05,4.18382201022287e-05,3.216529969411124e-05
FUNO11,5.4678855217597004e-05,6.892073299357939e-05,1.869021555897178e-05,0.000267041,3.116909220899944e-05,8.699658158927884e-05,4.1363236060658864e-05,2.893886611015338e-05,5.41417095988891e-05,6.548212603998816e-05,3.70387374720274e-05,5.170675059809892e-05,7.990572445568243e-05,8.368521459636398e-05,3.494600972572099e-05,5.706182151440562e-05,5.724888484537672e-05,7.06379881615517e-05,5.2885211678218586e-05,7.553439910956685e-05,5.655256393940768e-05,4.309947067242043e-05,7.160541385759822e-05,5.3366822310863144e-05,9.194283744282373e-05,6.286408502531884e-05,5.3659436840133276e-05,8.109926783163781e-05,5.2708768965319064e-05,8.352234851106566e-05,8.262176192888254e-05,6.580890157429586e-05,4.56027204717821e-05,6.97550715683478e-05,6.789816373588154e-05,7.640139450611177e-05,7.861737215847954e-05,4.851601305202266e-05
ICHB,8.566879462327638e-05,3.869448915934615e-05,5.688620977592299e-05,3.116909220899944e-05,0.00036021599999999995,5.3387722843468704e-05,4.637113800760381e-05,5.022747704058311e-05,5.627875452602317e-05,5.2061456456208885e-05,5.662791307024547e-05,4.023217653712356e-05,2.0119164840080745e-05,2.1838496960697224e-05,2.9079156318826245e-05,3.6587617251186396e-05,6.465499979000818e-05,5.153881190893732e-05,7.173259586457984e-05,2.0705250266203895e-05,4.340103226317229e-05,3.462476949186959e-05,8.154630102822807e-05,5.58266488245016e-05,8.034079902546101e-05,6.636657706764053e-05,5.2869978638007164e-05,7.319091675232603e-05,3.904560745789813e-05,6.428976146433056e-05,6.720474040909433e-05,6.668950669550661e-05,4.730839884942439e-05,7.549392066963727e-05,9.56972745724561e-05,4.994104240346462e-05,6.23494045515575e-05,4.6427331733623814e-05
GENTERA,8.649073467368836e-05,9.828628819501248e-05,3.3839594220355686e-05,8.699658158927887e-05,5.338772284346871e-05,0.000524193,6.257267765385401e-05,4.6532331665989345e-05,8.121914116214947e-05,9.575203864116506e-05,5.83703719663255e-05,7.547295752686239e-05,0.00011011928162696953,0.00011544676606520033,5.1300875450130134e-05,8.207950027643523e-05,8.667742365655002e-05,0.0001025753786923309,8.19302280547645e-05,0.00010435635326392591,8.245289182797252e-05,6.307827282507477e-05,0.00010851880498324583,8.011145002597573e-05,0.00013556623644186513,9.44619342799546e-05,8.004532889406146e-05,0.00011993798438863826,7.663098510390339e-05,0.00012180404750201673,0.0001210495663158395,9.845540244092769e-05,6.839501055434299e-05,0.00010510351569186757,0.0001057462478627693,0.00011004576181546517,0.00011493517222854144,7.215977455180293e-05
SORIANAB,6.15875642925689e-05,4.8033638014148036e-05,3.2841962929049905e-05,4.1363236060658864e-05,4.63711380076038e-05,6.2572677653854e-05,0.00028106200000000005,3.4682776506592456e-05,4.8788517219666e-05,5.217123314936805e-05,4.111933564377738e-05,4.082137175675394e-05,4.512106916707258e-05,4.758318189356761e-05,2.839565756211326e-05,4.1712630033254005e-05,5.378669052606421e-05,5.4304904208665055e-05,5.481500058460555e-05,4.337313291737767e-05,4.439007671359672e-05,3.449158987793792e-05,6.756437994750536e-05,4.824118134102582e-05,7.634635958035757e-05,5.70846530566623e-05,4.7112048978569524e-05,6.833545327418536e-05,4.077260200755272e-05,6.564113082648973e-05,6.64745318197491e-05,5.85687579083983e-05,4.105352183191232e-05,6.413334836212988e-05,7.191404576882665e-05,5.625708031670044e-05,6.257011479674457e-05,4.2008947497656765e-05
ELEKTRA,6.0430395583138094e-05,3.47095111979988e-05,3.717344697651778e-05,2.893886611015338e-05,5.022747704058307e-05,4.653233166598937e-05,3.468277650659245e-05,0.000422977,4.275379398007404e-05,4.213157579972729e-05,4.009522079813939e-05,3.274352308413444e-05,2.5436082331250218e-05,2.7098577665317494e-05,2.3259603816172242e-05,3.1460512887099694e-05,4.8286961563028845e-05,4.268327127539497e-05,5.179046651115256e-05,2.5053885240889394e-05,3.5452171801492925e-05,2.794503129456415e-05,6.080148603428958e-05,4.235334245075183e-05,6.348992850080379e-05,5.0252593802909044e-05,4.063317706368171e-05,5.7393504578385135e-05,3.2201498158197383e-05,5.2473448146342454e-05,5.406673283990553e-05,5.09395612450208e-05,3.5954415719430914e-05,5.6869605165080225e-05,6.864764676104942e-05,4.269349026033121e-05,5.0489994683163104e-05,3.591564488025109e-05
CHDRAUIB,7.630606349032356e-05,6.259861262596889e-05,3.946142550011972e-05,5.41417095988891e-05,5.627875452602317e-05,8.121914116214946e-05,4.878851721966599e-05,4.2753793980074025e-05,0.00028304599999999996,6.688982273094948e-05,5.1008717909639685e-05,5.239315620173939e-05,6.058368114588735e-05,6.382134328867961e-05,3.632510698175405e-05,5.4033362672662344e-05,6.775604499920778e-05,6.991642941921942e-05,6.841044216260143e-05,5.808690906016336e-05,5.7011718177588675e-05,4.419980713102856e-05,8.507587192925125e-05,6.10075362607868e-05,9.74293209980257e-05,7.215774260229104e-05,5.9760647089612e-05,8.706574163618068e-05,5.245548852586774e-05,8.429298749393623e-05,8.513290599710902e-05,7.41876164180183e-05,5.193975269053273e-05,8.096530559998516e-05,8.957617529258677e-05,7.280843683861847e-05,8.023221676841814e-05,5.336602002893938e-05
LIVEPOLC-1,7.66822420247941e-05,7.471700219824206e-05,3.495115775051578e-05,6.548212603998817e-05,5.2061456456208885e-05,9.575203864116506e-05,5.217123314936802e-05,4.213157579972728e-05,6.688982273094948e-05,0.000279307,5.149931865856624e-05,5.9602201857436104e-05,7.879171746482113e-05,8.276159047477638e-05,4.0880011786747646e-05,6.330174662713659e-05,7.235808862016984e-05,8.03402315292459e-05,7.064406522498945e-05,7.501539224902934e-05,6.499747658988563e-05,5.0025667659245086e-05,9.071812858264049e-05,6.604436633603779e-05,0.00010876899692626437,7.798927813972353e-05,6.537342173522632e-05,9.667724643510515e-05,6.013467221199622e-05,9.60550569776978e-05,9.616177359269582e-05,8.076052143738698e-05,5.6310393641350366e-05,8.712476766253783e-05,9.183864487825024e-05,8.50579280257689e-05,9.099513250740287e-05,5.867185165093925e-05
