,MFRISCOA-1,RA,SIMECB,FUNO11,ICHB,GENTERA,SORIANAB,ELEKTRA,CHDRAUIB,LIVEPOLC-1,AUTLANB,HERDEZ,GAPB,OMAB,MEGACPO,PINFRA,LABB,ALSEA,ARA,ASURB,AMXB,AC,AXTELCPO,KIMBERA,CEMEXCPO,BIMBOA,BOLSAA,GCARSOA1,FEMSAUBD,GFNORTEO,GFINBURO,ORBIA,GRUMAB,GMEXICOB,PE&OLES,TLEVISACPO,SIGMAFA,WALMEX
MFRISCOA-1,0.000653746,5.20E-05,4.98E-05,4.98E-05,7.90E-05,8.04E-05,5.04E-05,2.85E-05,6.80E-05,6.83E-05,6.81E-05,4.45E-05,6.72E-05,6.49E-05,3.96E-05,5.06E-05,6.35E-05,7.68E-05,7.71E-05,5.89E-05,6.38E-05,4.38E-05,9.51E-05,7.92E-05,0.000115272,7.50E-05,6.50E-05,0.000111354,4.44E-05,8.56E-05,0.000116596,9.06E-05,4.61E-05,0.000102791,0.000181118,7.90E-05,8.74E-05,5.94E-05
RA,5.20E-05,0.000336728,2.61E-05,7.70E-05,4.68E-05,0.000122223,4.40E-05,2.05E-05,7.43E-05,8.66E-05,3.65E-05,7.37E-05,8.34E-05,0.000104066,3.92E-05,6.87E-05,5.81E-05,9.62E-05,6.80E-05,8.01E-05,4.68E-05,4.76E-05,9.79E-05,5.44E-05,0.000102816,5.97E-05,8.08E-05,7.72E-05,5.75E-05,0.000133877,0.000105724,6.17E-05,4.15E-05,8.15E-05,7.31E-05,7.77E-05,9.17E-05,5.28E-05
SIMECB,4.98E-05,2.61E-05,0.000296878,1.46E-05,0.00011757,3.39E-05,3.72E-05,2.68E-05,3.76E-05,3.33E-05,4.75E-05,1.33E-05,2.33E-05,3.27E-05,1.94E-05,2.27E-05,3.28E-05,3.83E-05,3.51E-05,2.50E-05,2.73E-05,1.52E-05,4.55E-05,2.82E-05,5.54E-05,2.89E-05,2.46E-05,4.35E-05,2.97E-05,4.15E-05,2.88E-05,4.09E-05,2.51E-05,4.34E-05,5.26E-05,2.70E-05,4.66E-05,2.13E-05
FUNO11,4.98E-05,7.70E-05,1.46E-05,0.000267041,3.38E-05,9.15E-05,4.58E-05,1.76E-05,5.52E-05,7.46E-05,3.86E-05,4.35E-05,8.64E-05,8.44E-05,3.05E-05,6.31E-05,5.46E-05,7.83E-05,4.24E-05,7.24E-05,6.25E-05,4.45E-05,7.97E-05,5.16E-05,8.74E-05,6.54E-05,4.95E-05,8.90E-05,4.83E-05,9.61E-05,9.43E-05,6.57E-05,3.08E-05,7.31E-05,6.70E-05,7.50E-05,7.92E-05,4.23E-05
ICHB,7.90E-05,4.68E-05,0.00011757,3.38E-05,0.000360216,6.08E-05,4.75E-05,4.50E-05,6.06E-05,5.80E-05,4.31E-05,3.89E-05,3.45E-05,2.86E-05,1.49E-05,3.87E-05,5.02E-05,5.14E-05,8.31E-05,4.32E-05,2.98E-05,2.89E-05,6.21E-05,4.67E-05,5.86E-05,6.79E-05,4.24E-05,7.44E-05,4.45E-05,6.66E-05,6.07E-05,6.52E-05,3.51E-05,7.12E-05,7.64E-05,5.00E-05,6.01E-05,4.02E-05
GENTERA,8.04E-05,0.000122223,3.39E-05,9.15E-05,6.08E-05,0.000524193,6.27E-05,5.17E-05,6.89E-05,0.000109074,5.74E-05,6.95E-05,0.000113876,0.000131915,3.89E-05,7.54E-05,9.67E-05,0.000126011,0.000103498,0.000107521,8.13E-05,5.40E-05,0.000113831,8.53E-05,0.000153454,8.21E-05,7.94E-05,0.0001303,7.71E-05,0.000130469,0.000145538,8.70E-05,6.20E-05,8.59E-05,9.42E-05,0.000100539,0.000130067,6.17E-05
SORIANAB,5.04E-05,4.40E-05,3.72E-05,4.58E-05,4.75E-05,6.27E-05,0.000281062,2.88E-05,6.69E-05,5.56E-05,3.82E-05,4.71E-05,5.10E-05,4.38E-05,2.32E-05,3.37E-05,4.36E-05,5.76E-05,4.54E-05,4.17E-05,3.65E-05,3.07E-05,7.34E-05,3.93E-05,8.15E-05,4.67E-05,3.11E-05,6.24E-05,4.06E-05,7.52E-05,5.16E-05,4.93E-05,3.96E-05,4.90E-05,4.89E-05,5.02E-05,6.96E-05,4.53E-05
ELEKTRA,2.85E-05,2.05E-05,2.68E-05,1.76E-05,4.50E-05,5.17E-05,2.88E-05,0.000422977,2.34E-05,3.63E-05,4.99E-05,1.61E-05,2.82E-05,3.00E-05,1.20E-05,3.62E-05,6.42E-05,3.34E-05,3.75E-05,3.35E-05,2.73E-05,2.93E-05,6.13E-05,4.40E-05,6.76E-05,5.73E-05,3.15E-05,6.40E-05,3.39E-05,4.47E-05,4.24E-05,4.76E-05,3.52E-05,4.08E-05,5.10E-05,4.03E-05,5.53E-05,3.27E-05
CHDRAUIB,6.80E-05,7.43E-05,3.76E-05,5.52E-05,6.06E-05,6.89E-05,6.69E-05,2.34E-05,0.000283046,7.37E-05,3.20E-05,5.81E-05,6.05E-05,6.53E-05,2.81E-05,5.14E-05,5.56E-05,6.93E-05,6.46E-05,6.18E-05,6.01E-05,4.59E-05,8.85E-05,5.32E-05,0.000100613,7.86E-05,6.20E-05,8.99E-05,4.70E-05,8.83E-05,9.42E-05,7.08E-05,4.82E-05,7.62E-05,8.48E-05,7.63E-05,7.74E-05,6.25E-05
LIVEPOLC-1,6.83E-05,8.66E-05,3.33E-05,7.46E-05,5.80E-05,0.000109074,5.56E-05,3.63E-05,7.37E-05,0.000279307,4.65E-05,7.28E-05,8.85E-05,8.17E-05,3.83E-05,6.46E-05,5.59E-05,8.50E-05,6.83E-05,7.84E-05,6.34E-05,5.37E-05,8.95E-05,7.53E-05,0.000104393,8.67E-05,6.50E-05,9.25E-05,7.09E-05,0.00011069,0.000110815,9.38E-05,4.60E-05,7.75E-05,9.88E-05,8.16E-05,0.000103163,6.29E-05
