indice,eigenvalor
1,8.596943434441574
2,1.5690023412917913
3,1.2025043986877524
4,1.180851846743679
5,1.1040263814314148
6,1.0398557516549771
7,1.0171277165126416
8,0.9828629480248883
9,0.9635734681298865
10,0.9281219236599219
11,0.9139234374769837
12,0.8854708902085225
13,0.8716978614598387
14,0.8512483091975876
15,0.8391106696395638
16,0.81831956366791
17,0.8119147562424095
18,0.8008261720438266
19,0.7891062613105878
20,0.7693267577594456
21,0.7530517704926933
22,0.738083730854286
23,0.7257814004977134
24,0.7132153999449163
25,0.6990712196956129
26,0.6905793219255054
27,0.6859277934713744
28,0.6516867475484246
29,0.6409340431437202
30,0.6128010598468473
31,0.5987540162232196
32,0.566601162088361
33,0.5548777015666007
34,0.5377372721980218
35,0.5265700476382308
36,0.5038278340443781
37,0.4773716735727009
38,0.38731291566219184
