Emisora,Peso_original,Peso_RMT,Diferencia
MFRISCOA-1,0.012189516666642065,-0.001722741875918396,-0.013912258542560462
RA,0.032704215239826744,0.023443220169750447,-0.009260995070076296
SIMECB,0.08307007329490583,0.08313757128385593,6.749798895010206e-05
FUNO11,0.06536913406238817,0.051172293925406974,-0.0141968401369812
ICHB,0.015072196889069875,0.033051147306489316,0.01797895041741944
GENTERA,-0.008805910646005232,-0.023216881398136387,-0.014410970752131155
SORIANAB,0.05731922664092926,0.05782496889229199,0.0005057422513627258
ELEKTRA,0.051873066491127044,0.04476766230390976,-0.007105404187217286
CHDRAUIB,0.029789031896777694,0.030965929800391784,0.0011768979036140895
LIVEPOLC-1,-0.014422869955431794,0.006801036192555818,0.021223906147987612
AUTLANB,0.0301030525098739,0.030110685202375247,7.632692501344934e-06
HERDEZ,0.04872949629545661,0.05467863672489662,0.00594914042944001
GAPB,0.01790514842609964,0.03223903475093872,0.01433388632483908
OMAB,-0.014679344579344975,0.00979376189119947,0.024473106470544445
MEGACPO,0.1565256393232464,0.14797552426937646,-0.008550115053869933
PINFRA,0.06855927421659497,0.078739499900797,0.01018022568420203
LABB,0.014785604256373614,0.008686936619752913,-0.006098667636620701
ALSEA,-0.006491155556792778,0.0022464331747847183,0.008737588731577496
ARA,0.010743196921806723,0.00012970364760937317,-0.01061349327419735
ASURB,0.044786117206644334,0.04231268319048592,-0.0024734340161584115
AMXB,0.061118054678168665,0.05599342097457834,-0.005124633703590328
AC,0.14401087385731387,0.1531660443115835,0.00915517045426964
AXTELCPO,-0.0029487747806575134,-0.015345249160628512,-0.012396474379970998
KIMBERA,0.03085057056411844,0.033030184151829685,0.0021796135877112446
CEMEXCPO,-0.04048427127787878,-0.042570345109925065,-0.002086073832046287
BIMBOA,-0.004869873510928286,0.004194059372072524,0.00906393288300081
BOLSAA,0.03423238848879674,0.03037759876168257,-0.0038547897271141718
GCARSOA1,-0.032985457262150956,-0.03368575186749973,-0.0007002946053487752
FEMSAUBD,0.08617324299768091,0.09105510732118986,0.004881864323508955
GFNORTEO,-0.052950899386568835,-0.040149323594107604,0.012801575792461231
GFINBURO,-0.02729456053840129,-0.035683127419358626,-0.008388566880957335
ORBIA,0.00978817406670209,-0.0025703943618266053,-0.012358568428528695
GRUMAB,0.061374377910829336,0.06225481175627646,0.0008804338454471219
GMEXICOB,-0.008037817573572354,-0.012899689759518216,-0.004861872185945863
PE&OLES,-0.0033074383570980423,-0.01441519426361146,-0.011107755906513417
TLEVISACPO,0.012759488346937414,0.007176709171776654,-0.0055827791751607595
SIGMAFA,-0.02703979376216399,-0.024328265901533766,0.002711527860630225
WALMEX,0.06448700593868456,0.0712622996442061,0.006775293705521546
